i,N,engine,time(s)
0,25,ref,0
1,45,ref,.02
2,65,ref,.13
3,85,ref,.31
4,105,ref,3.01
5,125,ref,3.47
6,145,ref,7.06
7,165,ref,8.63
8,185,ref,10.05
9,205,ref,28.30
10,225,ref,33.35
11.45039716072333953016,245,ref,92.52
0,25,tbb,.01
1,45,tbb,.05
2,65,tbb,.19
3,85,tbb,.41
4,105,tbb,2.51
5,125,tbb,2.99
6,145,tbb,5.41
7,165,tbb,6.68
8,185,tbb,7.94
9,205,tbb,18.59
10,225,tbb,21.89
11,245,tbb,51.29
12.26385943653438352014,265,tbb,84.30
0,25,opt,.01
1,45,opt,.02
2,65,opt,.07
3,85,opt,.15
4,105,opt,.73
5,125,opt,.89
6,145,opt,1.59
7,165,opt,2.01
8,185,opt,2.47
9,205,opt,5.36
10,225,opt,6.52
11,245,opt,14.58
12,265,opt,23.41
13,285,opt,26.74
14,305,opt,29.05
15,325,opt,32.93
16,345,opt,36.68
17,365,opt,41.16
18,385,opt,45.90
19,405,opt,51.37
20,425,opt,57.99
21.13214990138067061143,445,opt,73.20
